datetime,road_type,all_motor_vehicles,hour,day_of_week,month,is_weekend,year,hour_sin,hour_cos,dow_sin,dow_cos,lag_1,lag_2,lag_3,lag_24,rolling_mean_3,rolling_std_3,road_type_encoded
2000-03-22 07:00:00+00:00,Major,1997,7,2,3,0,2000,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,732.0,1161.0,970.0,9059.0,954.3333333333334,214.92867033819888,1
2000-03-22 08:00:00+00:00,Major,2034,8,2,3,0,2000,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,1997.0,732.0,1161.0,10287.0,1296.6666666666667,643.3197753321012,1
2000-03-22 09:00:00+00:00,Major,1944,9,2,3,0,2000,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,2034.0,1997.0,732.0,7322.0,1587.6666666666667,741.2599633956661,1
2000-03-22 10:00:00+00:00,Major,1687,10,2,3,0,2000,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,1944.0,2034.0,1997.0,6679.0,1991.6666666666667,45.236416009042756,1
2000-03-22 11:00:00+00:00,Major,1563,11,2,3,0,2000,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,1687.0,1944.0,2034.0,6673.0,1888.3333333333333,180.0731332912921,1
2000-03-22 12:00:00+00:00,Major,1819,12,2,3,0,2000,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,1563.0,1687.0,1944.0,6909.0,1731.3333333333333,194.33047453588915,1
2000-03-22 13:00:00+00:00,Major,1873,13,2,3,0,2000,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,1819.0,1563.0,1687.0,7762.0,1689.6666666666667,128.02083163822974,1
2000-03-22 14:00:00+00:00,Major,1914,14,2,3,0,2000,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,1873.0,1819.0,1563.0,7285.0,1751.6666666666667,165.60595802489652,1
2000-03-22 15:00:00+00:00,Major,2052,15,2,3,0,2000,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,1914.0,1873.0,1819.0,7825.0,1868.6666666666667,47.648014998984536,1
2000-03-22 16:00:00+00:00,Major,2299,16,2,3,0,2000,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,2052.0,1914.0,1873.0,8942.0,1946.3333333333333,93.77810689784289,1
2000-03-22 17:00:00+00:00,Major,2199,17,2,3,0,2000,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,2299.0,2052.0,1914.0,8363.0,2088.3333333333335,195.05469318461127,1
2000-03-22 18:00:00+00:00,Major,1987,18,2,3,0,2000,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,2199.0,2299.0,2052.0,6289.0,2183.3333333333335,124.24304138800899,1
2000-03-30 07:00:00+00:00,Minor,89,7,3,3,0,2000,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,936.0,1048.0,1077.0,115.0,1020.3333333333334,74.46028023942247,0
2000-03-30 08:00:00+00:00,Minor,155,8,3,3,0,2000,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,89.0,936.0,1048.0,199.0,691.0,524.3462596414702,0
2000-03-30 09:00:00+00:00,Minor,97,9,3,3,0,2000,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,155.0,89.0,936.0,164.0,393.3333333333333,471.1202960320573,0
2000-03-30 10:00:00+00:00,Minor,88,10,3,3,0,2000,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,97.0,155.0,89.0,123.0,113.66666666666667,36.01851375797278,0
