datetime,all_motor_vehicles,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,lag_1,lag_2,lag_3,lag_24,rolling_mean_3,rolling_std_3
2000-03-22 07:00:00+00:00,1997,7,2,3,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,732.0,1161.0,970.0,9059.0,954.3333333333334,214.92867033819888
2000-03-22 08:00:00+00:00,2034,8,2,3,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,1997.0,732.0,1161.0,10287.0,1296.6666666666667,643.3197753321012
2000-03-22 09:00:00+00:00,1944,9,2,3,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,2034.0,1997.0,732.0,7322.0,1587.6666666666667,741.2599633956661
2000-03-22 10:00:00+00:00,1687,10,2,3,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,1944.0,2034.0,1997.0,6679.0,1991.6666666666667,45.236416009042756
2000-03-22 11:00:00+00:00,1563,11,2,3,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,1687.0,1944.0,2034.0,6673.0,1888.3333333333333,180.0731332912921
2000-03-22 12:00:00+00:00,1819,12,2,3,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,1563.0,1687.0,1944.0,6909.0,1731.3333333333333,194.33047453588915
2000-03-22 13:00:00+00:00,1873,13,2,3,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,1819.0,1563.0,1687.0,7762.0,1689.6666666666667,128.02083163822974
2000-03-22 14:00:00+00:00,1914,14,2,3,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,1873.0,1819.0,1563.0,7285.0,1751.6666666666667,165.60595802489652
2000-03-22 15:00:00+00:00,2052,15,2,3,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,1914.0,1873.0,1819.0,7825.0,1868.6666666666667,47.648014998984536
2000-03-22 16:00:00+00:00,2299,16,2,3,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,2052.0,1914.0,1873.0,8942.0,1946.3333333333333,93.77810689784289
2000-03-22 17:00:00+00:00,2199,17,2,3,0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,2299.0,2052.0,1914.0,8363.0,2088.3333333333335,195.05469318461127
2000-03-22 18:00:00+00:00,1987,18,2,3,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,2199.0,2299.0,2052.0,6289.0,2183.3333333333335,124.24304138800899
2000-03-23 07:00:00+00:00,115,7,3,3,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,1987.0,2199.0,2299.0,763.0,2161.6666666666665,159.31520119983094
2000-03-23 08:00:00+00:00,199,8,3,3,0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,115.0,1987.0,2199.0,930.0,1433.6666666666667,1146.9077265993744
2000-03-23 09:00:00+00:00,164,9,3,3,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,199.0,115.0,1987.0,801.0,767.0,1057.3854547893188
2000-03-23 10:00:00+00:00,123,10,3,3,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,164.0,199.0,115.0,931.0,159.33333333333334,42.193996413587755
2000-03-23 11:00:00+00:00,119,11,3,3,0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,123.0,164.0,199.0,1035.0,162.0,38.03945320343753
2000-03-23 12:00:00+00:00,124,12,3,3,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,119.0,123.0,164.0,1016.0,135.33333333333334,24.90649179129686
2000-03-23 13:00:00+00:00,144,13,3,3,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,124.0,119.0,123.0,947.0,122.0,2.6457513142112465
2000-03-23 14:00:00+00:00,118,14,3,3,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,144.0,124.0,119.0,1015.0,129.0,13.228756555951362
2000-03-23 15:00:00+00:00,203,15,3,3,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,118.0,144.0,124.0,1047.0,128.66666666666666,13.61371857171878
2000-03-23 16:00:00+00:00,145,16,3,3,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,203.0,118.0,144.0,970.0,155.0,43.554563480954954
2000-03-23 17:00:00+00:00,182,17,3,3,0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,145.0,203.0,118.0,1161.0,155.33333333333334,43.43193909267542
2000-03-23 18:00:00+00:00,147,18,3,3,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,182.0,145.0,203.0,732.0,176.66666666666666,29.365512652596276
2000-03-29 07:00:00+00:00,1054,7,2,3,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,147.0,182.0,145.0,1997.0,158.0,20.80865204708187
2000-03-29 08:00:00+00:00,1261,8,2,3,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,1054.0,147.0,182.0,2034.0,461.0,513.8511457611196
2000-03-29 09:00:00+00:00,872,9,2,3,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,1261.0,1054.0,147.0,1944.0,820.6666666666666,592.5220108429286
2000-03-29 10:00:00+00:00,644,10,2,3,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,872.0,1261.0,1054.0,1687.0,1062.3333333333333,194.63384426493454
2000-03-29 11:00:00+00:00,665,11,2,3,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,644.0,872.0,1261.0,1563.0,925.6666666666666,311.98130285859634
2000-03-29 12:00:00+00:00,739,12,2,3,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,665.0,644.0,872.0,1819.0,727.0,126.01190419962128
2000-03-29 13:00:00+00:00,739,13,2,3,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,739.0,665.0,644.0,1873.0,682.6666666666666,49.903239707938816
2000-03-29 14:00:00+00:00,703,14,2,3,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,739.0,739.0,665.0,1914.0,714.3333333333334,42.723919920202775
2000-03-29 15:00:00+00:00,968,15,2,3,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,703.0,739.0,739.0,2052.0,727.0,20.784609691175948
2000-03-29 16:00:00+00:00,1077,16,2,3,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,968.0,703.0,739.0,2299.0,803.3333333333334,143.7370284002964
2000-03-29 17:00:00+00:00,1048,17,2,3,0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,1077.0,968.0,703.0,2199.0,916.0,192.34604232999942
2000-03-29 18:00:00+00:00,936,18,2,3,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,1048.0,1077.0,968.0,1987.0,1031.0,56.453520705209904
2000-03-30 07:00:00+00:00,89,7,3,3,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,936.0,1048.0,1077.0,115.0,1020.3333333333334,74.46028023951385
2000-03-30 08:00:00+00:00,155,8,3,3,0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,89.0,936.0,1048.0,199.0,691.0,524.3462596414842
2000-03-30 09:00:00+00:00,97,9,3,3,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,155.0,89.0,936.0,164.0,393.3333333333333,471.12029603207407
2000-03-30 10:00:00+00:00,88,10,3,3,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,97.0,155.0,89.0,123.0,113.66666666666667,36.01851375820467
